"","G","P","Tm","Partidos"
"1",46,26,"MIL",72
"2",27,45,"TOR",72
"3",36,36,"BOS",72
"4",34,38,"IND",72
"5",40,32,"MIA",72
"6",49,23,"PHI",72
"7",48,24,"BRK",72
"8",21,51,"ORL",72
"9",34,38,"WAS",72
"10",41,31,"NYK",72
"11",31,41,"CHI",72
"12",20,52,"DET",72
"13",22,50,"CLE",72
"14",33,39,"CHO",72
"15",41,31,"ATL",72
"16",42,30,"LAL",72
"17",47,25,"LAC",72
"18",47,25,"DEN",72
"19",17,55,"HOU",72
"20",22,50,"OKC",72
"21",52,20,"UTA",72
"22",42,30,"DAL",72
"23",42,30,"POR",72
"24",38,34,"MEM",72
"25",51,21,"PHO",72
"26",33,39,"SAS",72
"27",31,41,"SAC",72
"28",31,41,"NOP",72
"29",23,49,"MIN",72
"30",22,50,"GSW",72
