"","Player","Tm","Pos","MP","FG","FGP","X3P","X3PP","FTP","AST","ORB","DRB","STL","BLK"
"1","MINIMUM","MINIMUM","MINIMUM","1.3","0","0","0","0","0","0","0","0","0","0"
"2","MAXIMUM","MAXIMUM","MAXIMUM","38.3","11.4","100","5","100","100","11.8","4.6","9.9","2","3.5"
"3","Precious Achiuwa","MIA","PF","14.6","2.6","59","0","0","56.1","0.6","1.3","2.7","0.4","0.5"
"4","Jaylen Adams","MIL","PG","2.8","0.2","12.5","0","0","0","0.3","0","0.5","0","0"
"5","Steven Adams","NOP","C","28.1","3.5","60.3","0","0","46.8","2.1","4.3","4.6","1","0.6"
"6","Bam Adebayo","MIA","C","33.6","7.4","57.3","0.1","40","84.1","5.3","1.9","7.3","1","1"
"7","LaMarcus Aldridge","SAS","C","26.7","5.9","47.6","1.3","35.8","76.2","1.9","0.8","3.5","0.4","0.9"
"8","Ty-Shon Alexander","PHO","SG","2.7","0","0","0","0","0","0.3","0","0.3","0","0"
"9","Nickeil Alexander-Walker","NOP","SG","19.2","3.3","41","1","27.6","78.1","2","0.2","2.4","1.1","0.3"
"10","Grayson Allen","MEM","SG","23.9","3.2","42.9","2.3","43.6","89.2","2.1","0.4","2.5","1","0.2"
"11","Jarrett Allen","TOT","C","26.2","4.4","64.2","0","25","75.8","1.6","2.9","6.1","0.5","1.6"
"12","Jarrett Allen","BRK","C","26.7","3.7","67.7","0","0","75.4","1.7","3.2","7.3","0.6","1.6"
"13","Jarrett Allen","CLE","C","25.9","4.9","62.4","0.1","25","76.1","1.6","2.8","5.2","0.4","1.7"
"14","Al-Farouq Aminu","ORL","PF","8","0.5","100","0.5","100","0","1","0.5","1.5","0","0"
"15","Kyle Anderson","MEM","PF","28.1","5","46.7","1.7","38.8","78.1","3.8","0.9","5.3","1.1","0.8"
"16","Giannis Antetokounmpo","MIL","PF","33.6","10.3","56.3","1.1","29","64.2","5.8","1.7","9.7","1.3","1.3"
"17","Kostas Antetokounmpo","LAL","PF","8","0","0","0","0","0","0","0","4","0","2"
"18","Thanasis Antetokounmpo","MIL","SF","8.3","0.9","65.4","0.1","28.6","57.1","0.8","0.7","1","0.3","0.2"
"19","Carmelo Anthony","POR","PF","25.3","4.6","39.6","1.7","37.7","84.2","1.3","0.6","2.9","0.8","0.8"
"20","Cole Anthony","ORL","PG","26.7","4","37.5","1.1","32.5","83.6","3.8","0.8","3.6","0.7","0.4"
"21","OG Anunoby","TOR","SF","34.4","5.1","48.9","2.4","43.1","75","1.6","1.6","4.3","2","0.6"
"22","Ryan Arcidiacono","CHI","PG","9.7","0.8","37.5","0.5","37.5","80","1.5","0.1","1.9","0.3","0"
"23","D.J. Augustin","MIL","PG","17.8","1.7","33.6","1.2","36.4","89.5","3","0.4","0.8","0.5","0"
"24","Deni Avdija","WAS","SF","22.9","2.5","42.4","1.2","35.5","57.9","1.6","0.5","4.4","0.8","0.2"
"25","Deandre Ayton","PHO","C","32.1","6.1","59","0.1","25","72.1","1.8","3.7","8.6","0.3","1"
"26","Udoka Azubuike","UTA","C","4.1","0.3","57.1","0","0","66.7","0","0.3","0.8","0.1","0.3"
"27","Dwayne Bacon","ORL","SG","24.9","4.1","42.3","1.1","37.3","80","1","0.4","2.7","0.8","0.1"
"28","Marvin Bagley III","SAC","PF","24.9","5.1","47.6","1","37.1","51.4","0.9","2.1","5.3","0.5","0.5"
